  B0SR  [si16]  0 (bytes 00 00)
  B0SS  [ui16]  0 (bytes 00 00)
  B0TC  [si16]  0 (bytes 00 00)
  B0TE  [ui16]  39168 (bytes 99 00)
  B0TF  [ui16]  65535 (bytes ff ff)
  B0TI  [ui32]  4294901760 (bytes ff ff 00 00)
  B0Ti  [ui32]  0 (bytes 00 00 00 00)
  B0UC  [ui16]  11520 (bytes 2d 00)
  B1AT  [ui16]  17665 (bytes 45 01)
  B1SS  [ui16]  0 (bytes 00 00)
  B1TI  [flt ]  10 (bytes 00 00 20 41)
  B1WI  [flt ]  10 (bytes 00 00 20 41)
  B2AT  [ui16]  19457 (bytes 4c 01)
  BAAC  [si64]  (bytes ac 76 62 00 00 00 00 00)
  BACC  [ui64]  (bytes be c1 02 00 00 00 00 00)
  BAPS  [flag]  true (bytes 01)
  BAST  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 c3 e4 00 02 07 02 00 02)
  BBAD  [flag]  false (bytes 00)
  BC1A  [si64]  (bytes 00 00 00 00 00 00 00 00)
  BC1I  [si32]  -233832448 (bytes f2 10 00 00)
  BC1V  [ui16]  58894 (bytes e6 0e)
  BC2A  [si64]  (bytes 00 00 00 00 00 00 00 00)
  BC2I  [si32]  -233832448 (bytes f2 10 00 00)
  BC2V  [ui16]  58126 (bytes e3 0e)
  BC3I  [si32]  1627914240 (bytes 61 08 00 00)
  BC3V  [ui16]  57614 (bytes e1 0e)
  BC4I  [si32]  -1861746688 (bytes 91 08 00 00)
  BCBL  [ui32]  4294901760 (bytes ff ff 00 00)
  BCCA  [ui64]  (bytes 00 00 00 00 00 00 00 00)
  BCDC  [ui8 ]  0 (bytes 00)
  BCDD  [flag]  false (bytes 00)
  BCDW  [ui8 ]  0 (bytes 00)
  BCF0  [ui32]  0 (bytes 00 00 00 00)
  BCFP  [ui32]  0 (bytes 00 00 00 00)
  BCFR  [hex_]  0 (bytes 00)
  BCFW  [hex_]  0 (bytes 00)
  BCHT  [hex_]  0 (bytes 00)
  BCMV  [ui16]  58894 (bytes e6 0e)
  BCMW  [ui16]  57614 (bytes e1 0e)
  BCST  [ui8 ]  0 (bytes 00)
  BDAQ  [ui16]  0 (bytes 00 00)
  BDBI  [hex_]  67051471 (bytes 03 ff 1f cf 32 00 62 14 48 ff 0f 03 00 00 00 00 00)
  BDD1  [ui8 ]  56 (bytes 38)
  BDD2  [ui8 ]  57 (bytes 39)
  BDD3  [ui8 ]  57 (bytes 39)
  BDFV  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  BFC1  [ui16]  48143 (bytes bc 0f)
  BFC2  [ui16]  55310 (bytes d8 0e)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BFLV  [ui8 ]  0 (bytes 00)
  BFS0  [ui8 ]  1 (bytes 01)
  BFWC  [ui16]  48439 (bytes bd 37)
  BHT0  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT1  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT2  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT3  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT4  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT5  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT6  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT7  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT8  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT9  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHTA  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHTB  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHTL  [flag]  false (bytes 00)
  BIMX  [ui16]  43047 (bytes a8 27)
  BIPD  [ui16]  17408 (bytes 44 00)
  BISS  [si16]  -30723 (bytes 87 fd)
  BITV  [ui16]  10275 (bytes 28 23)
  BL0A  [hex_]  102328405 (bytes 06 19 68 55 00 05 56 24 00 00 00 00 00 00 00 00 06 1e be 79 80 00 c7 e6 40 32 00 00 00 00 00 00)
  BL0B  [hex_]  2621453 (bytes 00 28 00 0d 11 55 0a ef 33 f9 22 f6 14 0c f4 91 18 a7 f1 6c f4 91 f1 6c 00 da 00 06 f6 9a 00 08)
  BL0C  [hex_]  1393644817 (bytes 53 11 55 11 55 11 00 00 ef 0a ce 0b f0 0a ff 7f c7 01 f9 33 f6 22 0c 14 91 f4 91 f4)
  BL0D  [hex_]  0 (bytes 00 00 00 00 02 00 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BLCC  [ui16]  59904 (bytes ea 00)
  BLCM  [si16]  -4342 (bytes ef 0a)
  BLCR  [ui8 ]  0 (bytes 00)
  BLCX  [si16]  21777 (bytes 55 11)
  BLH0  [ui32]  0 (bytes 00 00 00 00)
  BLH1  [ui32]  3592421376 (bytes d6 20 00 00)
  BLH2  [ui32]  2315321344 (bytes 8a 01 00 00)
  BLH3  [ui32]  335544320 (bytes 14 00 00 00)
  BLIC  [si16]  3092 (bytes 0c 14)
  BLID  [si16]  -28172 (bytes 91 f4)
  BLPM  [si16]  -2526 (bytes f6 22)
  BLPX  [si16]  -1741 (bytes f9 33)
  BLTA  [si16]  -9728 (bytes da 00)
  BLTM  [si16]  3328 (bytes 0d 00)
  BLTO  [ui32]  1768882176 (bytes 69 6f 00 00)
  BLTS  [si32]  -1695152640 (bytes 9a f6 06 00)
  BLTX  [si16]  10240 (bytes 28 00)
  BMCD  [ui16]  0 (bytes 00 00)
  BMDA  [ch8*]  (bytes 00 00 00 00 0b 00 01 00 f9 14 00 00 04 32 32 31 33 03 30 30 42 03 41 54 4c 00 25 00 00 00 00 00)
  BMDB  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BMDN  [ch8*]  (bytes 62 71 34 30 7a 36 35 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BMDT  [ch8*]  (bytes 33 30 30 38 32 36 00)
  BMSC  [ui8 ]  45 (bytes 2d)
  BMSN  [ch8*]  (bytes 46 38 59 32 33 35 34 30 4c 46 4c 31 30 58 32 41 55 00 00 00 00)
  BMW1  [ch8*]  (bytes 00 00 00 00)
  BMW2  [ch8*]  (bytes 00 00 00 00)
  BNCB  [si8 ]  3 (bytes 03)
  BNSC  [ui8 ]  2 (bytes 02)
  BPCC  [hex_]  257 (bytes 01 01)
  BPEX  [hex_]  0 (bytes 00)
  BQCC  [si16]  16904 (bytes 42 08)
  BQD1  [ui16]  14342 (bytes 38 06)
  BQD2  [ui16]  14342 (bytes 38 06)
  BQD3  [ui16]  16390 (bytes 40 06)
  BQX1  [ui16]  15377 (bytes 3c 11)
  BQX2  [ui16]  6929 (bytes 1b 11)
  BQX3  [ui16]  12305 (bytes 30 11)
  BR00  [ui16]  17409 (bytes 44 01)
  BR01  [ui16]  21504 (bytes 54 00)
  BR02  [ui16]  24576 (bytes 60 00)
  BR03  [ui16]  21760 (bytes 55 00)
  BR04  [ui16]  33024 (bytes 81 00)
  BR05  [ui16]  22784 (bytes 59 00)
  BR06  [ui16]  29696 (bytes 74 00)
  BR07  [ui16]  29440 (bytes 73 00)
  BR08  [ui16]  31744 (bytes 7c 00)
  BR09  [ui16]  36864 (bytes 90 00)
  BR0C  [ui16]  0 (bytes 00 00)
  BR0W  [ui16]  25344 (bytes 63 00)
  BR10  [ui16]  40192 (bytes 9d 00)
  BR11  [ui16]  47616 (bytes ba 00)
  BR12  [ui16]  58112 (bytes e3 00)
  BR13  [ui16]  5890 (bytes 17 02)
  BR14  [ui16]  54019 (bytes d3 03)
  BR1W  [ui16]  25344 (bytes 63 00)
  BR2W  [ui16]  25600 (bytes 64 00)
  BR3W  [ui16]  29952 (bytes 75 00)
  BRC0  [ui32]  0 (bytes 00 00 00 00)
  BRC1  [ui32]  0 (bytes 00 00 00 00)
  BROS  [ui32]  0 (bytes 00 00 00 00)
  BRSC  [ui8 ]  43 (bytes 2b)
  BSFC  [flag]  false (bytes 00)
  BT0C  [flag]  true (bytes 01)
  BT0L  [flag]  false (bytes 00)
  BT0V  [flag]  true (bytes 01)
  BTHC  [ui8 ]  0 (bytes 00)
  BTHW  [ui8 ]  0 (bytes 00)
  BTIL  [ui32]  1209139200 (bytes 48 12 00 00)
  BTRA  [hex_]  269488144 (bytes 10 10 10 10 10 10 19 19 19 19 10 55 32 32 19 10 78 64 46 2d)
  BTRO  [ui8 ]  0 (bytes 00)
  BTRS  [ui8 ]  100 (bytes 64)
  BTRT  [ui16]  30720 (bytes 78 00)
  BTSI  [ui32]  1209139200 (bytes 48 12 00 00)
  BTSV  [ui32]  655360000 (bytes 27 10 00 00)
  BTTA  [hex_]  201330432 (bytes 0c 00 0f 00 14 00 2d 00)
  BTTC  [ui8 ]  4 (bytes 04)
  BTTI  [ui8 ]  255 (bytes ff)
  BTTS  [flag]  false (bytes 00)
  BTVA  [hex_]  3087738640 (bytes b8 0b 27 10 59 10 bd 10 53 11)
  BTVC  [ui8 ]  5 (bytes 05)
  BTVI  [ui8 ]  255 (bytes ff)
  BTVL  [ui32]  655360000 (bytes 27 10 00 00)
  BUIC  [ui8 ]  45 (bytes 2d)
  BUPT  [hex_]  3200320000 (bytes be c1 02 00 00 00 00 00)
  BVCA  [hex_]  1677760000 (bytes 64 00 96 00 c8 00 fa 00 e8 03 ff ff)
  BVHA  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  BVVA  [hex_]  1393641745 (bytes 53 11 49 11 35 11 21 11 17 11 e5 10)
  BVVI  [ui8 ]  3 (bytes 03)
  BVVL  [ui16]  58640 (bytes e5 10)
  BVVM  [ui16]  58640 (bytes e5 10)
  BVVN  [ui16]  8465 (bytes 21 11)
  BVVO  [ui16]  21265 (bytes 53 11)
  BVVP  [ui16]  8465 (bytes 21 11)
  BVVQ  [ui16]  58640 (bytes e5 10)
  BVVR  [ui16]  58640 (bytes e5 10)
  BfDC  [ui32]  550174720 (bytes 20 cb 00 00)
  BfRM  [ui32]  1750794240 (bytes 68 5b 00 00)
  BfSC  [ui8 ]  45 (bytes 2d)
  BnDC  [ui32]  550174720 (bytes 20 cb 00 00)
  Bvt0  [ui8 ]  1 (bytes 01)
  Bvt1  [ui32]  1768882176 (bytes 69 6f 00 00)
  Bvt2  [flt ]  0.34275764 (bytes ee 7d af 3e)
  Bvt3  [flt ]  0.40349016 (bytes 43 96 ce 3e)
  Bvt4  [flt ]  -0.17400181 (bytes 88 2d 32 be)
  Bvt5  [flt ]  0.07543367 (bytes f8 7c 9a 3d)
  Bvt6  [flt ]  0.034566462 (bytes 90 95 0d 3d)
  Bvt7  [flt ]  4.325 (bytes 66 66 8a 40)
  Bvt8  [flt ]  4.325 (bytes 66 66 8a 40)
  Bvt9  [ui8 ]  0 (bytes 00)
